date,open,high,low,close,volume,RSI
2016-01-03 21:00:00,1.08564,1.08564,1.08564,1.08564,0.0,0.0
2016-01-03 22:00:00,1.0873,1.0873,1.08659,1.08666,1485.9301,0.0
2016-01-03 23:00:00,1.08665,1.08665,1.08451,1.08516,4071.6499,0.0
2016-01-04 00:00:00,1.08515,1.08577,1.08431,1.08453,4182.2402,0.0
2016-01-04 01:00:00,1.08453,1.08616,1.08272,1.08599,6970.71,0.0
2016-01-04 02:00:00,1.08597,1.08756,1.08582,1.08714,6419.8901,0.0
2016-01-04 03:00:00,1.08716,1.08728,1.0867,1.08712,3703.3799,0.0
2016-01-04 04:00:00,1.08713,1.08833,1.08694,1.08791,4588.3901,0.0
2016-01-04 05:00:00,1.08793,1.09047,1.08741,1.08974,6686.02,0.0
2016-01-04 06:00:00,1.08973,1.09025,1.08841,1.0889,5422.6099,0.0
2016-01-04 07:00:00,1.0889,1.09202,1.08818,1.09125,11563.9404,0.0
2016-01-04 08:00:00,1.09123,1.09463,1.09106,1.09241,14263.5801,0.0
2016-01-04 09:00:00,1.09242,1.09303,1.09127,1.09298,9447.8604,0.0
2016-01-04 10:00:00,1.09292,1.0936,1.09053,1.09057,9207.5195,0.0
2016-01-04 11:00:00,1.09059,1.09172,1.08976,1.09171,8463.6396,53.804488006191534
2016-01-04 12:00:00,1.0917,1.0925,1.08967,1.09068,8702.3496,56.627627394712064
2016-01-04 13:00:00,1.09064,1.09064,1.0846,1.08547,13381.7803,44.202942422959076
2016-01-04 14:00:00,1.08547,1.0863,1.08333,1.08357,14479.25,43.34223805283552
2016-01-04 15:00:00,1.08347,1.08477,1.08012,1.08015,16646.3906,38.416206261510986
2016-01-04 16:00:00,1.08016,1.08123,1.07812,1.08032,14373.54,35.31914893617089
2016-01-04 17:00:00,1.08031,1.08232,1.08001,1.08179,8798.5801,36.08562691131574
2016-01-04 18:00:00,1.0818,1.08246,1.08127,1.08221,6561.5298,31.038285804316985
2016-01-04 19:00:00,1.08222,1.0828,1.08157,1.08275,5086.3799,30.490709861839264
2016-01-04 20:00:00,1.08272,1.08371,1.08261,1.08288,5940.1899,26.646556058321778
2016-01-04 21:00:00,1.0829,1.0837,1.08288,1.08296,3644.4299,22.544328736280136
2016-01-04 22:00:00,1.08303,1.08326,1.08268,1.0829,1948.09,21.36252123042182
2016-01-04 23:00:00,1.0829,1.0829,1.08235,1.08237,3459.23,21.37404580152726
2016-01-05 00:00:00,1.08239,1.08345,1.0818,1.08313,3652.0901,22.043519394512757
2016-01-05 01:00:00,1.08315,1.08388,1.08221,1.0825,6889.7998,24.27444560202389
2016-01-05 02:00:00,1.08244,1.08285,1.08154,1.08167,4949.73,23.071283095722393
2016-01-05 03:00:00,1.08168,1.08212,1.0815,1.08192,4606.1299,20.96339724290847
2016-01-05 04:00:00,1.08194,1.08259,1.0819,1.08225,3354.8799,27.194148936169626
2016-01-05 05:00:00,1.08225,1.08345,1.0821,1.08313,4693.3398,31.515535827519983
2016-01-05 06:00:00,1.08313,1.08365,1.08248,1.08277,5164.5098,50.45685279187779
2016-01-05 07:00:00,1.08277,1.08288,1.08043,1.08086,8975.5703,42.43493603881729
2016-01-05 08:00:00,1.08087,1.08184,1.07854,1.07897,12462.8799,31.796480698404082
2016-01-05 09:00:00,1.07896,1.07988,1.07726,1.07734,13972.3799,29.776927979606555
2016-01-05 10:00:00,1.07741,1.07848,1.07649,1.0768,14156.2305,29.714048901782903
2016-01-05 11:00:00,1.0768,1.07688,1.07522,1.0756,10496.3604,31.541725601130807
2016-01-05 12:00:00,1.07559,1.07648,1.075,1.07515,11584.6504,37.094017094016856
2016-01-05 13:00:00,1.07516,1.07565,1.07391,1.07421,15233.7598,35.29498743161335
2016-01-05 14:00:00,1.07421,1.07574,1.07385,1.07392,15624.2002,35.80320983950776
2016-01-05 15:00:00,1.07391,1.07427,1.07107,1.07217,18013.0508,31.497797356828826
