,entry_date,exit_date,trade_type,iATR100,iSMA20,iSMA50,iSMA200,iROC20,iROC50,iROC200,iEMA20,iEMA50,iEMA200,iBBUpper20,iBBLower20,iMACD1226,recoil_x,init_x,iOBV,iRI,iVI,iTI,y,y2
0,2016-01-18 15:00:00,2016-01-18 20:00:00,Short,0.002060999999999995,1.0898420000000002,1.0895906000000002,1.0867147499999994,-0.33000275002292123,-0.2019274896741606,1.3393231618092507,1.0897171647255168,1.0895576838007557,1.0866432053482606,1.0917629822049097,1.0879210177950907,-0.0004905598125617416,8,18,16843.260100000003,0.7400468384074549,0.7303026552492081,1.3362831858407767,-0.0025600000000001177,0.00041000000000002146
1,2016-01-19 06:00:00,2016-01-19 15:00:00,Short,0.0019528999999999974,1.0889585,1.0902174,1.087715699999999,-0.1524334251606974,-0.08637483000697807,0.922591423798038,1.0889789142784427,1.0892447226939306,1.0869586389584662,1.090191199647543,1.0877258003524568,-0.00041899301275427625,6,15,-1870.4198000000013,0.517857142857169,1.0906396897685928,0.7280966767373486,-0.0024200000000000887,0.0013900000000000023
2,2016-01-20 03:00:00,2016-01-20 15:00:00,Long,0.001936100000000005,1.0903295000000004,1.0895324000000002,1.0884107999999997,0.7510216102787033,0.4441018865154681,0.14454304272254476,1.0910741822605452,1.0900537082570823,1.087587785297889,1.0950748479712689,1.085584152028732,0.001152415497537529,8,12,-1162.2399999999961,1.272455089820297,0.9735890562178632,1.5472312703579558,-0.0048600000000000865,0.0029199999999998116
3,2016-01-24 22:00:00,2016-01-25 13:00:00,Short,0.001995600000000002,1.0819590000000003,1.0851290000000002,1.0878036999999996,-0.43450986180556767,-0.9053097426386181,-0.5134397699199951,1.0818115730893647,1.0845046774033922,1.086886348654665,1.0853490875629124,1.0785689124370883,-0.0017233495574446867,9,19,-44130.468700000005,2.3010563380281406,1.68967844238086,1.4239350912779567,-0.004050000000000109,0.00034000000000000696
4,2016-01-25 14:00:00,2016-01-26 11:00:00,Long,0.002007399999999999,1.08105,1.0827069999999999,1.0876156499999992,0.3862148169415868,-0.566941269287936,0.05354010892643081,1.0818830685247074,1.0831542727840309,1.0860925190518325,1.083436084879595,1.0786639151204052,5.468557166565802e-05,6,13,40737.297300000006,0.9304589707926543,1.9387371542845158,2.5174129353227213,-0.0014600000000000168,0.003549999999999942
5,2016-01-27 09:00:00,2016-01-29 07:00:00,Long,0.0017681999999999976,1.0857459999999999,1.0845756000000002,1.0872430999999998,0.42858990227411076,0.540030700375418,0.0036791081841594116,1.0858255354687512,1.0849498578215067,1.0857226313960313,1.0881510508255925,1.0833409491744073,0.0006867190976933557,10,12,-10279.219700000001,0.48771929824555965,0.785251511463618,1.4877192982456495,0.0025400000000002088,0.009500000000000064
6,2016-01-29 13:00:00,2016-02-01 14:00:00,Short,0.0016097000000000006,1.0922645,1.0907980000000002,1.0873741999999997,-0.7437185929648273,-0.10574615405835204,-0.18192844147969317,1.0911910655457062,1.0904661010044865,1.0878047192719282,1.0960840578415914,1.0884449421584086,-0.0004914202805632595,5,14,1638.7315999999992,0.6508916323731121,0.9796382519364719,1.7484567901234298,-0.003470000000000084,0.005360000000000031
7,2016-02-02 04:00:00,2016-02-05 14:00:00,Long,0.001666099999999997,1.0888579999999999,1.0873253999999999,1.0864738999999992,0.6083117505553093,-0.14270946730946968,0.22403202556168667,1.0888889037588971,1.088152110759958,1.0874367749051266,1.091894061160191,1.0858219388398087,0.001038089928716568,13,16,10611.2718,1.1968503937007668,1.30239746314776,2.639344262294903,0.022199999999999998,0.033130000000000104
8,2016-02-11 09:00:00,2016-02-12 07:00:00,Long,0.002378599999999995,1.127617,1.1273258,1.11083705,0.8100842131500603,1.2707582518801885,4.518772843061237,1.1286051354757805,1.1263537049551084,1.11381880210222,1.1340173276231933,1.1212166723768069,0.0012026177299029328,8,10,17033.319900000002,1.0909909909910078,1.3387520458261477,2.8222222222224675,-0.003509999999999902,0.0051800000000001845
9,2016-02-15 07:00:00,2016-02-17 04:00:00,Short,0.002518399999999996,1.1236570000000001,1.1282410000000005,1.1197524000000003,-0.5941349129636824,-0.7244259057537905,2.6698050996483014,1.1238992395367633,1.1260389178563586,1.1188743702915829,1.1271575118422734,1.1201564881577268,-0.0018110837063785024,15,9,-19382.5406,1.408814589665549,1.5748730468237917,0.9724409448819263,0.0041799999999998505,0.009109999999999951
10,2016-02-18 11:00:00,2016-02-19 16:00:00,Short,0.0018160000000000042,1.1133,1.1141356,1.1213773500000002,-0.30365372694522,-0.6935247163260124,-0.3090273722791566,1.1132140129831525,1.1145081660503113,1.1166370223183155,1.114656076383503,1.111943923616497,-0.0005737649633821285,12,16,38041.8803,0.35164835164833314,0.5070811446163815,0.6503667481662426,-0.002889999999999837,0.0030400000000001537
11,2016-02-22 07:00:00,2016-02-24 15:00:00,Short,0.0016633000000000032,1.1115460000000001,1.1112735999999999,1.1192875499999988,-0.1441051967936635,-0.48916214154287624,-1.780652019844083,1.1113048066434692,1.1118139172098755,1.1146766214268684,1.113687159548125,1.1094048404518753,-0.00024117158906600267,6,7,1014.9206000000013,1.2656641604008958,0.9741795554918924,1.0126050420167947,0.006050000000000111,0.012969999999999926
12,2016-02-26 02:00:00,2016-02-26 08:00:00,Long,0.001675300000000004,1.102814,1.1017642,1.1081597499999998,0.21306882576410782,0.355923585385355,-0.8886378105972851,1.103028572551768,1.1026186388673436,1.1071801624638296,1.1050393399503753,1.1005886600496246,0.0006137664760712536,7,10,6861.039000000004,2.0264084507042024,1.1231404316621745,3.713178294574005,-0.003170000000000117,0.0015499999999999403
